day_of_week,member_casual,ride_length,ride_length_mins,ride_length_hour
Friday,casual,1061503,17691.716666666667,294.8619444444445
Monday,casual,762019,12700.316666666668,211.67194444444445
Saturday,casual,1730436,28840.6,480.6766666666666
Sunday,casual,1641170,27352.833333333332,455.88055555555553
Thursday,casual,628448,10474.133333333333,174.5688888888889
Tuesday,casual,651327,10855.45,180.92416666666668
Wednesday,casual,666226,11103.766666666666,185.06277777777777
Friday,member,518211,8636.85,143.94750000000002
Monday,member,465796,7763.266666666666,129.38777777777779
Saturday,member,571355,9522.583333333334,158.70972222222224
Sunday,member,534386,8906.433333333332,148.44055555555553
Thursday,member,484639,8077.316666666667,134.62194444444444
Tuesday,member,478040,7967.333333333333,132.7888888888889
Wednesday,member,504212,8403.533333333333,140.05888888888887
